1~ORACLE~172.27.12.194~GRID~1521~1~~D~1~
2~SQL~MTLEVDDB01~~~~~D~1~
3~SQL~MTLSUNDDB01~~~~~D~1~
4~SQL~YPGMTLSBSQL02~~~~~D~1~
5~SQL~YPGMTLGRPLTST~~~~~T~1~
6~SQL~YPGMTLSQLDEV01~~~~~D~1~
7~SQL~YPGMTLMIDLDEV1~~~~~D~1~
8~SQL~YPGMTLHRPSQLDEV01~~~~~D~1~
9~SQL~YPGMTLDLTDEV01~~~~~D~1~
10~SQL~MTLQAYIDSQL01~~~~~QA~1~
11~SQL~ORACLE-MANAGER\SQLEXPRESS~~~~~D~1~
13~SQL~LDCSUNDBPROD01~~~~~P~1~
14~SQL~MTLSCCMPROD02~~~~~P~1~
15~SQL~MTLEUCPDB01~~~~~P~1~
16~SQL~MTLEVPDB01~~~~~P~1~
17~SQL~YPGLDCLEGSQL01~~~~~P~1~
18~SQL~MTLVCTRPROD02~~~~~P~1~
19~SQL8~YPGIDSSUNF03~~~~~P~1~
20~SQL7~YPGSQLMETRIC~~~~~P~1~inv prob
21~SQL8~YPGMTLTTRCKDB01~~~~~P~1~
22~SQL~MTLEPO02~~~~~P~1~
24~SQL8~YPGMTLGPSHAP01\SHAREPOINT~~~~~P~0~Probleme connection
25~SQL~YPGMTLHRPSQLPRD01~~~~~P~1~
27~SQL~YPGMTLGPPRD01\DYNV9_Production~~~~~P~1~
28~SQL~YPGMTLCFOSVM1~~~~~P~1~
29~SQL~YPGMTLSQLPRD01~~~~~P~1~
30~SQL~YPGMTLSBSQL01~~~~~P~1~
33~SQL~YPGMTLEVOLDB01~~~~~P~1~
34~SQL~YPGLDCYIDSQL01~~~~~P~1~
35~SQL~YPGLDCYIDSQL02~~~~~P~1~
36~SQL~LDCDLTDBPRD01~~~~~P~1~
37~SQL8~SPBBYDYN1~~~~~P~1~
38~SQL~MTLNTAFSTOR01~~~~~P~1~
39~SQL~YPGMTLTRACKIT~~~~~P~1~
40~SQL~LDCPCALLRTVRDB1~~~~~P~1~
41~SQL~MTLXNHDB01~~~~~P~1~
42~SQL~ldcmctsqlprd01~~~~~P~1~
43~SQL~ypgmtlmapprd01\WINTELINFRA~~~~~P~1~No SQL Agent installed
44~SQL~YPGLDCCAPOST01~~~~~P~1~
45~SQL~YPGLDCDTIPRD~~~~~P~1~
46~SQL~Mtlbbsqldev01~~~~~D~1~
47~SQL~Mtlbbsqlqa01~~~~~QA~1~
48~SQL~Mtlbbsqlppd01~~~~~PP~1~
49~SQL~Ldcbbsqlprd01~~~~~P~1~
