1~2~
1~3~
1~4~
1~5~
1~6~
1~7~
1~8~
1~9~
1~10~
1~11~
2~12~
2~13~
2~14~
2~15~
2~16~
2~17~
2~18~
2~19~
2~20~
2~21~
2~22~
7~19~
2~25~
2~26~
2~27~
2~28~
2~29~
2~30~
2~32~
2~33~
2~34~
2~35~
2~36~
2~37~
2~38~
2~39~
2~40~
2~41~
2~42~
2~43~
2~44~
5~11~Only ORACLE-MANAGER
3~2~All SQL 8+
3~4~
3~5~
3~6~
3~7~
3~8~
3~9~
3~10~
3~11~
3~13~
3~14~
3~15~
3~16~
3~17~
3~18~
3~22~
6~19~
3~25~
3~27~
3~28~
3~29~
3~30~
3~33~
3~34~
3~35~
3~36~
3~38~
3~39~
3~40~
3~41~
3~42~
3~43~
3~44~
4~19~ALL SQL8
4~21~
4~37~
6~2~ALL SQL -7
6~3~
6~4~
6~5~
6~6~
6~7~
6~8~
6~9~
6~10~
6~11~
6~13~
6~14~
6~15~
6~16~
6~17~
6~18~
6~22~
6~21~
6~25~
6~27~
6~28~
6~29~
6~30~
6~33~
6~34~
6~35~
6~36~
6~38~
6~39~
6~40~
6~41~
6~42~
6~43~
6~44~
7~20~SQL8 AND SQL7
6~37~
7~21~
9~20~
7~37~
8~2~ALL SQL
8~3~
8~4~
8~5~
8~6~
8~7~
8~8~
8~9~
8~10~
8~11~
8~13~
8~14~
8~15~
8~16~
8~17~
8~18~
8~19~
8~20~
8~21~
8~22~
3~45~
8~25~
8~27~
8~28~
8~29~
8~30~
8~33~
8~34~
8~35~
8~36~
8~37~
8~38~
8~39~
8~40~
8~41~
8~42~
8~43~
8~44~
8~45~
3~46~
3~47~
3~48~
3~49~
8~46~
8~47~
8~48~
8~49~
3~3~
