3~SQL~INV SQL8+~3~2~YPG~1~
4~SQL~INV SQL8~4~3~YPG~1~
8~SQL~List Jobs SQL8+~3~7~YPG~1~
9~SQL~History SQL~8~8~YPG~1~
10~SQL~List JOBs SQL8~7~10~YPG~1~
12~SQL~INV SQL7~9~12~~1~
13~SQL~List User SQL8+~3~13~YPG~1~
14~SQL~List User SQL 7&8~7~14~~1~
